lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14260716,-118.1522871,180,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14266143,-118.1522872,181,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14288028,-118.1522884,182,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1429894,-118.15229,183,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14323568,-118.1522912,184,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14329889,-118.1522949,185,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14336836,-118.1522936,186,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14343157,-118.152293,187,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14348584,-118.1522945,188,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14383796,-118.152298,189,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14388984,-118.1522981,190,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14403296,-118.1522991,191,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14408961,-118.1522992,192,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14429876,-118.1524258,193,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14417414,-118.1524227,194,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14410974,-118.152419,195,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14404056,-118.1524189,196,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14398212,-118.1524202,197,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14391713,-118.1524165,198,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14385928,-118.1524221,199,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14473321,-118.1521691,200,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1448,-118.1521692,201,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.144865,-118.15217,202,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14772648,-118.1499936,203,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14493417,-118.1521716,204,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14498605,-118.1521717,205,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14552616,-118.1522996,206,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14546534,-118.1522988,207,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14224409,-118.143939,208,Mon-Sat,1.25,2,9am-6pm,single-space
34.14224357,-118.1438723,209,Mon-Sat,1.25,2,9am-6pm,single-space
34.14224367,-118.143787,210,Mon-Sat,1.25,2,9am-6pm,single-space
34.14227201,-118.1445279,211,Mon-Sat,1.25,2,9am-6pm,single-space
