lat,lon,id,Sign
34.14071248,-118.1325898,1294, no stopping anytime
34.14068681,-118.1327017,1295, bus stop metro
34.14053661,-118.1334957,1296, no stopping anytime
34.14050917,-118.1341193,1297, bus stop metro
34.14048704,-118.1360787,1298, 2 hr parking 9am-4pm
34.1405074,-118.1371939,1299, bus stop metro
34.14050474,-118.1376246,1300, 2 hr parking 9am-4pm
34.14050415,-118.1380132,1301, 2 hr parking 9am-4pm
34.14049796,-118.1388064,1302, 2 hr parking 9am-4pm
34.1404953,-118.1393968,1303, 2 hr parking 9am-4pm
34.14048881,-118.1399423,1304, 2 hr parking 9am-4pm
34.14049028,-118.1404225,1305, 2 hr parking 9am-4pm
34.14048379,-118.1407534,1306, 2 hr parking 9am-4pm
34.1404773,-118.1420682,1307, 2 hr parking 9am-4pm
34.14047494,-118.1422668,1308, 2 hr parking 9am-4pm
34.14046874,-118.143679,1309, 2 hr parking 9am-4pm
34.14046668,-118.1442747,1310, 2 hr parking 9am-4pm
34.14046284,-118.1449471,1311, 2 hr parking 9am-4pm
34.140603,-118.146104,1312, 2 hr parking 9am-6pm
34.1406033,-118.1463746,1313, 2 hr parking 9am-6pm
34.14065582,-118.147969,1314, no stopping anytime
34.14070185,-118.1483066,1315, no stopping anytime
34.14066615,-118.1491494,1316, no parking anytime
34.14066556,-118.1492974,1317, no stopping anytime
34.14066615,-118.1496157,1318, no parking anytime
34.14066556,-118.1499605,1319, no parking anytime
34.14085972,-118.1511933,1320, 2 hr parking 9am-6pm
34.14085736,-118.1518301,1321, 2 hr parking 9am-6pm
34.14085588,-118.152465,1322, no parking anytime
34.14085352,-118.1527595,1323, no parking anytime
34.14086735,-118.1530633,1324, no parking anytime
34.14085146,-118.156216,1325, no stopping anytime
34.14080749,-118.1566855,1326, no stopping anytime
34.14080484,-118.1571761,1327, no stopping anytime
34.14080247,-118.1576895,1328, no stopping anytime
34.14080011,-118.1582011,1329, no stopping anytime
34.14079657,-118.1591651,1330, no stopping anytime
34.14607259,-118.1217469,1331, bus stop metro
34.146073,-118.1222024,1332, 1 hr parking 9am-6pm
34.14606684,-118.1226023,1333, 1 hr parking 9am-6pm
34.14606191,-118.1234012,1334, 1 hr parking 9am-6pm
34.14606232,-118.1237639,1335, 1 hr parking 9am-6pm
34.14605575,-118.1245112,1336, 1 hr parking 9am-6pm
34.14605493,-118.1248551,1337, 1 hr parking 9am-6pm
34.14605082,-118.1251602,1338, 1 hr parking 9am-6pm
34.14605123,-118.1256544,1339, bus stop metro
34.14604672,-118.1262653,1340, 1 hr parking 9am-6pm
34.14604056,-118.1273653,1341, 1 hr parking 9am-6pm
34.14603809,-118.1277499,1342, 1 hr parking 9am-6pm
34.14603358,-118.1284649,1343, bus stop metro
34.14603152,-118.1287477,1344, 1 hr parking 9am-6pm
34.14602988,-118.1291095,1345, 1 hr parking 9am-6pm
34.14602536,-118.1296553,1346, bus stop metro
34.14619145,-118.1396717,1347, 1 hr parking 9am-6pm
34.14651483,-118.1396721,1348, 1 hr parking 9am-6pm
34.14681775,-118.1396764,1349, 1 hr parking 9am-6pm
34.14699636,-118.1396788,1350, 1 hr parking 9am-6pm
